시설명,자치구명,연령구분,x좌표값,y좌표값,기본주소,상세주소,사이트유무,사이트 URL,사용료무료여부,사용료
송파여성문화회관공동육아방,송파구,영유아,127.10974,37.50598,서울특별시 송파구 백제고분로42길 5, (송파동)1층,N,,Y,0
내곡 육아지원센터 공동육아방,서초구,영유아,127.05831,37.44936,서울특별시 서초구 청계산로15길 77, (신원동),N,,Y,
서리풀문화광장 함께 키움센터 공동육아방,서초구,영유아,127.00484,37.49012,서울특별시 서초구 명달로 144, (서초동),N,,Y,0
공동육아방(보라매점),관악구,영유아,126.93546,37.48673,서울특별시 관악구 봉천로23길 6, (봉천동),N,,Y,
너나들이 공동육아방,금천구,영유아,126.8956,37.46896,서울특별시 금천구 두산로 70, (독산동) A동 L층 101호,N,,Y,
강서 활짝 공동육아방,강서구,영유아,126.82624,37.54949,서울특별시 강서구 수명로2길 50, (내발산동),N,,Y,
방아다리 공동육아방,양천구,영유아,126.82719,37.53859,서울특별시 양천구 화곡로4길 10, (신월동),N,,Y,
쓰담쓰담 공동육아방,도봉구,영유아,127.03541,37.66418,서울특별시 도봉구 도당로 70," (방학동, 쏘네하임)",N,,Y,
서빙고동 열린육아방,용산구,영유아,126.99465,37.52047,서울특별시 용산구 서빙고로 279,서빙고동 주민센터1층 열린육아방 (서빙고동),Y,https://www.ysccic.or.kr,Y,0
광진구 능동 열린육아방(토끼방),광진구,영유아,127.08723,37.55231,서울특별시 광진구 천호대로122길 30,"1층 (능동, 블루스카이)",Y,https://www.gjcare.go.kr/html/sub/index.php?pno=070101&mode=view&board_idx=997,Y,0
꿈자람공동육아방 제기점,동대문구,영유아,127.03467589521067,37.5837276538076,서울특별시 동대문구 약령시로7길 19,동대문구육아종합지원센터 제기점 2층 (제기동),N,,Y,
